image_id,class_id,class_name,class_folder,image_name,image_path,image_full_path,split,is_train,bbox_x,bbox_y,bbox_width,bbox_height
1,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0046_18.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,test,0,60.0,27.0,325.0,304.0
2,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0009_34.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,train,1,139.0,30.0,153.0,264.0
3,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0002_55.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg,test,0,14.0,112.0,388.0,186.0
4,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0074_59.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,train,1,112.0,90.0,255.0,242.0
5,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0014_89.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,train,1,70.0,50.0,134.0,303.0
6,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0085_92.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,test,0,33.0,53.0,251.0,395.0
7,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0031_100.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,train,1,7.0,75.0,420.0,262.0
8,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0051_796103.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,train,1,78.0,86.0,333.0,158.0
9,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0010_796097.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,train,1,112.0,76.0,221.0,189.0
10,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0025_796057.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg,test,0,27.0,4.0,199.0,201.0
